lambda,time,mu1,mu2,cov11,cov12,cov22
-0.9,6.636636636636637,-1.2974465752452407,1.6770640519440916,0.004951318955729358,-0.002131701334899774,0.026486250029071002
-0.9,6.646646646646647,-1.2976070277215317,1.6771006792664709,0.004928717374351588,-0.0021581561856247526,0.02661014546734453
-0.9,6.656656656656657,-1.2972966590946151,1.6767843575756447,0.004932906075083458,-0.002200904255061986,0.026512209107989647
-0.9,6.666666666666667,-1.2972070417003398,1.6770257938908817,0.004980614094768432,-0.0022826858665524756,0.02639581417009869
-0.9,6.676676676676677,-1.2975259872303593,1.6770005369656915,0.004993778707739934,-0.0022607760066760425,0.02632996601650786
-0.9,6.686686686686687,-1.297904169739915,1.6772978222912458,0.004896913195652671,-0.0022009798875970866,0.026278914630714
-0.9,6.696696696696697,-1.29785702009928,1.677546960797835,0.004890975787453342,-0.0022591751753236154,0.026310525358402267
-0.9,6.706706706706707,-1.29751185312862,1.6778593869070846,0.004854465930474084,-0.0021787397786573355,0.02655638109368256
-0.9,6.716716716716717,-1.2973109555692646,1.6780597251819054,0.0048527570883500435,-0.0021883228030780168,0.026588805594184046
-0.9,6.726726726726727,-1.2975167131113903,1.6774333636775725,0.004892091438194016,-0.00230125289540788,0.026570453467454718
-0.9,6.736736736736737,-1.2969722501896002,1.6772348434378113,0.0049551186611007355,-0.002308914142952234,0.026542046961706017
-0.9,6.746746746746747,-1.2970727556847503,1.6774007798027324,0.004917814230662949,-0.0022644372178504475,0.02647906084877716
-0.9,6.756756756756757,-1.2973150663551414,1.6775272024180856,0.004937790854038223,-0.002300841185722398,0.02656288639499633
-0.9,6.766766766766767,-1.296742622054596,1.6779377731864389,0.004929922719858343,-0.002341419232076646,0.026452505565393164
-0.9,6.776776776776777,-1.2965177088522761,1.6784372873354685,0.005021929673666411,-0.0023949391358274058,0.02627948521487736
-0.9,6.786786786786787,-1.2964717655894138,1.6783904170470414,0.00505717727070922,-0.0024443636947208396,0.026211998231250817
-0.9,6.796796796796797,-1.2966925622746208,1.6789075616888343,0.005087403752449276,-0.0025025515804820045,0.026294862152401524
-0.9,6.806806806806807,-1.296784589897689,1.6788550795721018,0.005080820700435554,-0.0024713959402914844,0.026295112443244322
-0.9,6.816816816816817,-1.2969092853892557,1.6789833783670933,0.0050613239130455415,-0.0024442535886126243,0.026258494034017425
-0.9,6.826826826826827,-1.2974774422656135,1.6789805830575257,0.005060024180881432,-0.0024714304102113026,0.026516769033935326
-0.9,6.836836836836837,-1.297652535636033,1.6788803719433398,0.004972847351275098,-0.0024298188930866075,0.0265797115502883
-0.9,6.846846846846847,-1.2978897964982037,1.6790470529193688,0.004889069784658814,-0.0024193834665957987,0.026564527075528487
-0.9,6.856856856856857,-1.2973884524465038,1.6790415454846086,0.004900236860051398,-0.002411323684331071,0.02652428270095632
-0.9,6.866866866866867,-1.2972297927812808,1.6786725614821618,0.004894366582755957,-0.002416794474058309,0.026522765804005418
-0.9,6.876876876876877,-1.2967731530083566,1.6787191694582817,0.004967232052647576,-0.0024057260321758847,0.026610377841524466
-0.9,6.886886886886887,-1.296740468360894,1.679195807452052,0.005021153516215535,-0.002373678502365822,0.026612638662852513
-0.9,6.896896896896897,-1.2976937079798907,1.6792480821118396,0.005036600883567379,-0.0023316491399366507,0.026657371981053057
-0.9,6.906906906906907,-1.2970545181531787,1.6792884270136164,0.005053772611209553,-0.002309259434538102,0.02660257596917362
-0.9,6.916916916916917,-1.2966439088990585,1.679091775160987,0.005058589174079637,-0.002443558115425554,0.026637048423099517
-0.9,6.926926926926927,-1.296847355752787,1.67909311193185,0.004994009726845353,-0.0024023816383532603,0.026702724541197632
-0.9,6.936936936936937,-1.296576151425265,1.6792637172732083,0.005035676845896417,-0.0023507510143222143,0.026579588756157395
-0.9,6.946946946946947,-1.2968145694381807,1.6790482629222194,0.005053502373692124,-0.002369421087595064,0.026640529609558344
-0.9,6.956956956956957,-1.2966821747185968,1.6795560551009905,0.005053349435576282,-0.0023848504426747584,0.026572901988679815
-0.9,6.966966966966967,-1.2963463539247575,1.679481967193552,0.0051128706072552255,-0.002393962707261094,0.02660784498675492
-0.9,6.976976976976977,-1.2963101905822851,1.679412450940483,0.00504730921801486,-0.002445577905176323,0.02650438737916657
-0.9,6.986986986986987,-1.296116721575577,1.6797698319116858,0.005042413549879397,-0.002465696507511087,0.026416402808679015
-0.9,6.996996996996997,-1.2956467939972842,1.6795553195242479,0.005045701217638572,-0.002592883039235797,0.026249341221435463
-0.9,7.007007007007007,-1.2953202046823815,1.6799970163606983,0.00507164924580966,-0.0026056895532924683,0.026399794857315844
-0.9,7.017017017017017,-1.295523840333019,1.6801455725504357,0.00509284055995331,-0.002546222310602857,0.026449360582449746
-0.9,7.027027027027027,-1.2956273626263721,1.6803788758926916,0.005119940320090831,-0.0025494947120728315,0.026316232205807855
